"timestamp" "bugsigdb_signatures_genus_metaphlan_exact.gmt" "bugsigdb_signatures_genus_metaphlan.gmt" "bugsigdb_signatures_genus_ncbi_exact.gmt" "bugsigdb_signatures_genus_ncbi.gmt" "bugsigdb_signatures_genus_taxname_exact.gmt" "bugsigdb_signatures_genus_taxname.gmt" "bugsigdb_signatures_mixed_metaphlan.gmt" "bugsigdb_signatures_mixed_ncbi.gmt" "bugsigdb_signatures_mixed_taxname.gmt" "bugsigdb_signatures_species_metaphlan_exact.gmt" "bugsigdb_signatures_species_metaphlan.gmt" "bugsigdb_signatures_species_ncbi_exact.gmt" "bugsigdb_signatures_species_ncbi.gmt" "bugsigdb_signatures_species_taxname_exact.gmt" "bugsigdb_signatures_species_taxname.gmt" "exp.csv" "full_dump.csv" "sig.csv" "stud.csv"
"2026-06-24_00:14_UTC" 9261 9268 9261 9268 9261 9268 13354 13354 13354 6050 6050 6050 6050 6050 6050 8830 14908 14117 2253
"2026-06-24_01:32_UTC" 9261 9268 9261 9268 9261 9268 13354 13354 13354 6050 6050 6050 6050 6050 6050 8830 14908 14117 2253
"2026-06-24_02:55_UTC" 9261 9268 9261 9268 9261 9268 13354 13354 13354 6050 6050 6050 6050 6050 6050 8830 14908 14117 2253
"2026-06-24_04:25_UTC" 9261 9268 9261 9268 9261 9268 13354 13354 13354 6050 6050 6050 6050 6050 6050 8830 14908 14117 2253
"2026-06-24_06:16_UTC" 9261 9268 9261 9268 9261 9268 13354 13354 13354 6050 6050 6050 6050 6050 6050 8830 14908 14117 2252
"2026-06-24_08:03_UTC" 9261 9268 9261 9268 9261 9268 13354 13354 13354 6050 6050 6050 6050 6050 6050 8830 14908 14119 2253
"2026-06-24_11:52_UTC" 9258 9265 9258 9265 9258 9265 13351 13351 13351 6050 6050 6050 6050 6050 6050 8830 14905 14117 2253
"2026-06-24_12:36_UTC" 9258 9265 9258 9265 9258 9265 13351 13351 13351 6050 6050 6050 6050 6050 6050 8830 14905 14117 2253
"2026-06-24_13:38_UTC" 9258 9265 9258 9265 9258 9265 13351 13351 13351 6050 6050 6050 6050 6050 6050 8830 14905 14117 2251
"2026-06-24_14:50_UTC" 9258 9265 9258 9265 9258 9265 13351 13351 13351 6050 6050 6050 6050 6050 6050 8830 14905 14117 2251
"2026-06-24_15:40_UTC" 9258 9265 9258 9265 9258 9265 13351 13351 13351 6050 6050 6050 6050 6050 6050 8830 14905 14120 2251
"2026-06-24_16:38_UTC" 9258 9265 9258 9265 9258 9265 13351 13351 13351 6050 6050 6050 6050 6050 6050 8830 14905 14123 2251
"2026-06-24_17:32_UTC" 9268 9275 9268 9275 9268 9275 13370 13370 13370 6059 6059 6059 6059 6059 6059 8842 14924 14123 2245
