# BugSigDB 2026-01-12_00:01_UTC, License: Creative Commons Attribution 4.0 International, URL: https://bugsigdb.org
BSDB ID,Study,Study design,PMID,DOI,URL,Authors list,Title,Journal,Year,Keywords,Experiment,Location of subjects,Host species,Body site,UBERON ID,Condition,EFO ID,Group 0 name,Group 1 name,Group 1 definition,Group 0 sample size,Group 1 sample size,Antibiotics exclusion,Sequencing type,16S variable region,Sequencing platform,Data transformation,Statistical test,Significance threshold,MHT correction,LDA Score above,Matched on,Confounders controlled for,Pielou,Shannon,Chao1,Simpson,Inverse Simpson,Richness,Signature page name,Source,Curated date,Curator,Revision editor,Description,Abundance in Group 1,MetaPhlAn taxon names,NCBI Taxonomy IDs,State,Reviewer
bsdb:11/1/1,Study 11,time series / longitudinal observational,NA,NA,NA,NA,NA,NA,NA,NA,Experiment 1,Brazil,Homo sapiens,Uterus,NA,NA,NA,HIV pateints with normal tissue at 6 months,HIV patients with lesion at 12 months,Cases were identified by HIV rapid or ELISA test and subsequent Western blot following recommendations for HIV diagnosis by the Brazilian Ministry of Health.,5,5,NA,16S,3456,Illumina,relative abundances,Mann-Whitney (Wilcoxon),0.1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Signature 1,Figure 4,10 January 2021,Shaimaa Elsafoury,WikiWorks,Gardnerella vaginalis abundance longitudinal analysis at six and twelve months postpartum in paired samples,decreased,k__Bacillati|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella vaginalis,1783272|201174|1760|85004|31953|2701|2702,Complete,NA
bsdb:83/1/1,Study 83,time series / longitudinal observational,NA,NA,NA,NA,NA,NA,NA,NA,Experiment 1,Germany,Homo sapiens,Feces,UBERON:0001988,Obesity,EFO:0001073,after surgery,before surgery,Roux-en-Y gastric-bypass operation were recruited according to the S3 guidelines of the German Society for Obesity,6,6,3 weeks,WMS,NA,Illumina,relative abundances,ANOVA,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Signature 1,Table 2 &Table 3,10 January 2021,Marianthi Thomatos,"Fatima,WikiWorks",gut microbiome before and after bariatric surgery in obese patients with type 2 diabetes,increased,"k__Pseudomonadati|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter johnsonii,k__Bacillati|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Anaerostipes,k__Bacillati|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes caccae,k__Pseudomonadati|p__Spirochaetota|c__Spirochaetia|o__Brachyspirales|f__Brachyspiraceae|g__Brachyspira|s__Brachyspira hyodysenteriae,k__Bacillati|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Coprococcus,k__Bacillati|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus comes,k__Bacillati|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium,k__Bacillati|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium prausnitzii,k__Pseudomonadati|p__Fibrobacterota|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae|g__Fibrobacter|s__Fibrobacter succinogenes,k__Fusobacteriati|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium periodonticum,k__Pseudomonadati|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter,k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus acidophilus,k__Pseudomonadati|p__Spirochaetota|c__Spirochaetia|o__Leptospirales|f__Leptospiraceae|g__Leptospira|s__Leptospira interrogans,k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Limosilactobacillus reuteri,k__Bacillati|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium kansasii,k__Bacillati|p__Actinomycetota|c__Actinomycetes|o__Nakamurellales|f__Nakamurellaceae|g__Nakamurella|s__Nakamurella multipartita,k__Pseudomonadati|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Ectopseudomonas|s__Ectopseudomonas mendocina,k__Bacillati|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus epidermidis,k__Pseudomonadati|p__Thermomicrobiota|c__Thermomicrobia|o__Thermomicrobiales|f__Thermomicrobiaceae|g__Thermomicrobium|s__Thermomicrobium roseum,k__Pseudomonadati|p__Spirochaetota|c__Spirochaetia|o__Spirochaetales|f__Treponemataceae|g__Treponema|s__Treponema pallidum,k__Bacillati|p__Bacillota|c__Erysipelotrichia|o__Erysipelotrichales|f__Coprobacillaceae|g__Thomasclavelia|s__Thomasclavelia spiroformis,p__Evosea|c__Eumycetozoa|o__Dictyosteliales|f__Dictyosteliaceae|g__Dictyostelium,p__Ciliophora|c__Litostomatea|o__Entodiniomorphida|f__Ophryoscolecidae|g__Epidinium",3379134|1224|1236|2887326|468|469|40214;1783272|1239|186801|3085636|186803|207244;1783272|1239|186801|3085636|186803|207244|105841;3379134|203691|203692|1643686|143786|29521|159;1783272|1239|186801|3085636|186803|33042;1783272|1239|186801|3085636|186803|33042|410072;1783272|1239|186801|186802|216572|216851;1783272|1239|186801|186802|216572|216851|853;3379134|65842|204430|218872|204431|832|833;3384189|32066|203490|203491|203492|848|860;3379134|29547|3031852|213849|72293|209;1783272|1239|91061|186826|33958|1578|1579;3379134|203691|203692|1643688|170|171|173;1783272|1239|91061|186826|33958|2742598|1598;1783272|201174|1760|85007|1762|1763|1768;1783272|201174|1760|1643684|85031|53460|53461;3379134|1224|1236|72274|135621|3236654|300;1783272|1239|91061|1385|90964|1279|1282;3379134|3027942|189775|189776|189777|499|500;3379134|203691|203692|136|2845253|157|160;1783272|1239|526524|526525|2810280|3025755|29348;2605435|142796|2058949|2058185|5782;5878|5988|40634|47890|40637,Complete,Fatima
bsdb:83/1/2,Study 83,time series / longitudinal observational,NA,NA,NA,NA,NA,NA,NA,NA,Experiment 1,Germany,Homo sapiens,Feces,UBERON:0001988,Obesity,EFO:0001073,after surgery,before surgery,Roux-en-Y gastric-bypass operation were recruited according to the S3 guidelines of the German Society for Obesity,6,6,3 weeks,WMS,NA,Illumina,relative abundances,ANOVA,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Signature 2,Table 2 &Table 3,10 January 2021,Marianthi Thomatos,"Fatima,WikiWorks",gut microbiome before and after bariatric surgery in obese patients with type 2 diabetes,decreased,"k__Pseudomonadati|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter,k__Pseudomonadati|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter,k__Pseudomonadati|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter cancerogenus,k__Pseudomonadati|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Salmonella,k__Pseudomonadati|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Salmonella|s__Salmonella enterica,k__Pseudomonadati|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella boydii,k__Bacillati|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella,k__Bacillati|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella dispar,k__Bacillati|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella parvula,k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Sordariaceae|g__Neurospora",3379134|1224|1236|91347|543|544;3379134|1224|1236|91347|543|547;3379134|1224|1236|91347|543|547|69218;3379134|1224|1236|91347|543|590;3379134|1224|1236|91347|543|590|28901;3379134|1224|1236|91347|543|620|621;1783272|1239|909932|1843489|31977|29465;1783272|1239|909932|1843489|31977|29465|39778;1783272|1239|909932|1843489|31977|29465|29466;4751|4890|147550|5139|5148|5140,Complete,Fatima
bsdb:84/1/1,Study 84,case-control,NA,NA,NA,NA,NA,NA,NA,NA,Experiment 1,Germany,Homo sapiens,Feces,UBERON:0001988,Obesity,EFO:0001073,lean controls,after surgery,Roux-en-Y gastric-bypass operation were recruited according to the S3 guidelines of the German Society for Obesity,6,NA,3 weeks,WMS,NA,Illumina,relative abundances,ANOVA,0.05,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Signature 1,Table 2,10 January 2021,Shaimaa Elsafoury,WikiWorks,gut microbiome before and after bariatric surgery in obese patients with type 2 diabetes,increased,"k__Pseudomonadati|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter cancerogenus,k__Bacillati|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella parvula,k__Pseudomonadati|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella boydii",3379134|1224|1236|91347|543|547|69218;1783272|1239|909932|1843489|31977|29465|29466;3379134|1224|1236|91347|543|620|621,Complete,NA
bsdb:84/1/2,Study 84,case-control,NA,NA,NA,NA,NA,NA,NA,NA,Experiment 1,Germany,Homo sapiens,Feces,UBERON:0001988,Obesity,EFO:0001073,lean controls,after surgery,Roux-en-Y gastric-bypass operation were recruited according to the S3 guidelines of the German Society for Obesity,6,NA,3 weeks,WMS,NA,Illumina,relative abundances,ANOVA,0.05,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Signature 2,Table 2,10 January 2021,Shaimaa Elsafoury,WikiWorks,gut microbiome before and after bariatric surgery in obese patients with type 2 diabetes,decreased,"k__Bacillati|p__Bacillota|c__Erysipelotrichia|o__Erysipelotrichales|f__Coprobacillaceae|g__Thomasclavelia|s__Thomasclavelia spiroformis,k__Pseudomonadati|p__Spirochaetota|c__Spirochaetia|o__Brachyspirales|f__Brachyspiraceae|g__Brachyspira|s__Brachyspira hyodysenteriae,k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Limosilactobacillus reuteri,k__Bacillati|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes caccae,k__Fusobacteriati|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium periodonticum,k__Pseudomonadati|p__Thermomicrobiota|c__Thermomicrobia|o__Thermomicrobiales|f__Thermomicrobiaceae|g__Thermomicrobium|s__Thermomicrobium roseum,k__Bacillati|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus epidermidis,k__Pseudomonadati|p__Fibrobacterota|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae|g__Fibrobacter|s__Fibrobacter succinogenes",1783272|1239|526524|526525|2810280|3025755|29348;3379134|203691|203692|1643686|143786|29521|159;1783272|1239|91061|186826|33958|2742598|1598;1783272|1239|186801|3085636|186803|207244|105841;3384189|32066|203490|203491|203492|848|860;3379134|3027942|189775|189776|189777|499|500;1783272|1239|91061|1385|90964|1279|1282;3379134|65842|204430|218872|204431|832|833,Complete,NA
bsdb:501/1/1,Study 501,"cross-sectional observational, not case-control",NA,https://doi.org/10.21767/2476-1974.100036,https://reproductive-immunology.imedpub.com/reproductive-microbiomes-using-the-microbiome-as-a-novel-diagnostic-tool-for-endometriosis.php?aid=20437,NA,NA,NA,NA,NA,Experiment 1,United States of America,Homo sapiens,Uterine cervix,UBERON:0000002,Endometriosis,EFO:0001065,Women scheduled for laparoscopic surgery for benign uterine/ ovarian conditions as well as women with Stage I or Stage II endometriosis,One (1) Stage III Endometriosis patient,One (1) Stage III Endometriosis patient was diagnosed via laparoscopic surgery and categorized according to the revised American Society for Reproductive Medicine scoring system (r-ASRM).,17,1,NA,16S,345,Illumina,NA,PERMANOVA,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,increased,Signature 1,Table 2,8 August 2021,Samara.Khan,Samara.Khan,"In this experiment, 9 patients had stage I, II or III endometriosis. The nine patients in the control group were undergoing laparoscopic surgery for other gynecological reasons, for a total of 18 patients.

The researchers found no difference when comparing the microbiome composition of control patients to experimental patients. However, when they compared the one (1) stage III endometriosis patient to the rest of the 17 patient cohort, they found 56 OTUs were significantly different, with 22 OTUs only present in the cervix of the stage III patient. 

The results of this signature are therefore not statistically reliable. However, the OTUs present in the stage III endometriosis patients can be used as a reference when looking at other studies who involved stage III endometriosis patients. 

It should also be noted that multiple unidentified species of Barnesiella were reported to be significantly different, but researchers did not specify which species so these were excluded from curation. There were also multiple unidentified species of Ruminococcus and Clostridium.",increased,"k__Bacillati|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Acetivibrio,k__Pseudomonadati|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Achromobacter,k__Pseudomonadati|p__Bacteroidota|c__Bacteroidia|o__Marinilabiliales|f__Marinilabiliaceae|g__Alkalitalea,k__Bacillati|p__Bacillota|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Allobaculum,k__Bacillati|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Anaerotruncus,k__Pseudomonadati|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides,k__Bacillati|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Butyricicoccaceae|g__Butyricicoccus,k__Bacillati|p__Bacillota|c__Erysipelotrichia|o__Erysipelotrichales|f__Coprobacillaceae|g__Coprobacillus,k__Bacillati|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Coprococcus,k__Bacillati|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Flavonifractor,k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus,k__Pseudomonadati|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides,k__Bacillati|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium,k__Fusobacteriati|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Sneathia,k__Bacillati|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus,k__Bacillati|p__Bacillota|c__Erysipelotrichia|o__Erysipelotrichales|f__Turicibacteraceae|g__Turicibacter",1783272|1239|186801|186802|216572|35829;3379134|1224|28216|80840|506|222;3379134|976|200643|1970189|558415|1193324;1783272|1239|526524|526525|128827|174708;1783272|1239|186801|186802|216572|244127;3379134|976|200643|171549|815|816;1783272|1239|186801|186802|3085642|580596;1783272|1239|526524|526525|2810280|100883;1783272|1239|186801|3085636|186803|33042;1783272|1239|186801|186802|216572|946234;1783272|1239|91061|186826|33958|1578;3379134|976|200643|171549|2005525|375288;1783272|201174|1760|85009|31957|1743;3384189|32066|203490|203491|1129771|168808;1783272|1239|91061|1385|90964|1279;1783272|1239|526524|526525|2810281|191303,Complete,NA
bsdb:608/1/1,Study 608,meta-analysis,NA,10.5281/zenodo.7544549,https://doi.org/10.5281/zenodo.7544549,NA,Body site-typical microbiome signatures for children,NA,NA,NA,Experiment 1,"Italy,United States of America",Homo sapiens,Oral cavity,UBERON:0000167,Health study participation,EFO:0010130,none,healthy child oral 50% up,NA,NA,81,NA,16S,NA,Illumina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Signature 1,10.5281/zenodo.5565690,26 January 2022,Haoyanzh,Haoyanzh,healthy child oral genus in >=50% study samples,NA,"k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus,k__Bacillati|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Rothia,k__Bacillati|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella,k__Pseudomonadati|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella,k__Bacillati|p__Bacillota|c__Bacilli|o__Bacillales|f__Gemellaceae|g__Gemella,k__Pseudomonadati|p__Pseudomonadota|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria,k__Pseudomonadati|p__Pseudomonadota|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus",1783272|1239|91061|186826|1300|1301;1783272|201174|1760|85006|1268|32207;1783272|1239|909932|1843489|31977|29465;3379134|976|200643|171549|171552|838;1783272|1239|91061|1385|539738|1378;3379134|1224|28216|206351|481|482;3379134|1224|1236|135625|712|724,Complete,Lwaldron
bsdb:608/1/2,Study 608,meta-analysis,NA,10.5281/zenodo.7544549,https://doi.org/10.5281/zenodo.7544549,NA,Body site-typical microbiome signatures for children,NA,NA,NA,Experiment 1,"Italy,United States of America",Homo sapiens,Oral cavity,UBERON:0000167,Health study participation,EFO:0010130,none,healthy child oral 50% up,NA,NA,81,NA,16S,NA,Illumina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Signature 2,10.5281/zenodo.5565690,26 January 2022,Haoyanzh,Haoyanzh,healthy child oral species in >= 50% samples,NA,"k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus mitis,k__Bacillati|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia mucilaginosa,k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus parasanguinis,k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus oralis,k__Pseudomonadati|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella melaninogenica,k__Bacillati|p__Bacillota|c__Bacilli|o__Bacillales|f__Gemellaceae|g__Gemella|s__Gemella haemolysans,k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus infantis,k__Bacillati|p__Bacillota|c__Bacilli|o__Bacillales|f__Gemellaceae|g__Gemella|s__Gemella sanguinis,k__Pseudomonadati|p__Pseudomonadota|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria flavescens,k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus salivarius,k__Bacillati|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella dispar",1783272|1239|91061|186826|1300|1301|28037;1783272|201174|1760|85006|1268|32207|43675;1783272|1239|91061|186826|1300|1301|1318;1783272|1239|91061|186826|1300|1301|1303;3379134|976|200643|171549|171552|838|28132;1783272|1239|91061|1385|539738|1378|1379;1783272|1239|91061|186826|1300|1301|68892;1783272|1239|91061|1385|539738|1378|84135;3379134|1224|28216|206351|481|482|484;1783272|1239|91061|186826|1300|1301|1304;1783272|1239|909932|1843489|31977|29465|39778,Complete,Lwaldron
bsdb:817/3/1,Study 817,case-control,NA,NA,https://www.sciencedirect.com/science/article/abs/pii/S0044848623000224,"Christina Pavloudi, Efthimia Antonopoulou, Maria Ioanna Tsertou","Investigation of systemic granulomatosis in cultured meagre, Argyrosomus  regius, using clinical metagenomics",Aquaculture,2023,"16S, rRNA, amplicon, sequencing, Metagenomics,  Granuloma,  Meagre,  Microbiome,  Lesion",Experiment 3,Greece,Argyrosomus regius,Kidney,UBERON:0002113,Granulomatosis with Polyangiitis,EFO:0005297,Healthy/Healthy with no visible granuloma,Sick,Meagre fishes with SG-affected kidneys and tissue calcification in their kidneys,7,20,NA,16S,34,Illumina,relative abundances,LEfSe,0.05,FALSE,2,NA,NA,NA,NA,NA,NA,NA,NA,Signature 1,"Table 2, Supplementary Figure 2, Supplementary Figure 3",9 March 2024,Barrakat,"Barrakat,Svetlana up","The differential abundance of microbial taxa as identified by LefSe in two health groups
(healthy and sick)",increased,"k__Pseudomonadati|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae,k__Pseudomonadati|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Gallionellaceae,k__Pseudomonadati|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales",3379134|1224|28216|80840|119060;3379134|1224|28216|32003|90627;3379134|1224|28211|204455,Complete,Svetlana up
bsdb:817/3/2,Study 817,case-control,NA,NA,https://www.sciencedirect.com/science/article/abs/pii/S0044848623000224,"Christina Pavloudi, Efthimia Antonopoulou, Maria Ioanna Tsertou","Investigation of systemic granulomatosis in cultured meagre, Argyrosomus  regius, using clinical metagenomics",Aquaculture,2023,"16S, rRNA, amplicon, sequencing, Metagenomics,  Granuloma,  Meagre,  Microbiome,  Lesion",Experiment 3,Greece,Argyrosomus regius,Kidney,UBERON:0002113,Granulomatosis with Polyangiitis,EFO:0005297,Healthy/Healthy with no visible granuloma,Sick,Meagre fishes with SG-affected kidneys and tissue calcification in their kidneys,7,20,NA,16S,34,Illumina,relative abundances,LEfSe,0.05,FALSE,2,NA,NA,NA,NA,NA,NA,NA,NA,Signature 2,"Table 2, Supplementary Figure 2, Supplementary Figure 3",10 March 2024,Barrakat,"Barrakat,Svetlana up","The differential abundance of microbial taxa as identified by LefSe in two health groups
(healthy and sick)",decreased,"k__Bacillati|p__Bacillota|c__Bacilli|o__Bacillales,k__Bacillati|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus,k__Pseudomonadati|p__Verrucomicrobiota|c__Opitutia|o__Puniceicoccales|f__Coraliomargaritaceae|g__Coraliomargarita,k__Thermotogati|p__Deinococcota|c__Deinococci|o__Thermales|f__Thermaceae|g__Meiothermus,k__Pseudomonadati|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Paracoccus,k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus",1783272|1239|91061|1385;1783272|1239|91061|1385|186817|1386;3379134|74201|414999|415001|3056371|442430;3384194|1297|188787|68933|188786|65551;3379134|1224|28211|204455|31989|265;1783272|1239|91061|186826|1300|1301,Complete,Svetlana up
